TimeStamp,Time (s),Voltage (V),Current (A),Power (W)
13:59:16,280.802,30,0.551,16.524
13:59:17,281.836,30,0.551,16.524
13:59:18,282.843,30,0.551,16.524
13:59:19,283.851,30,0.551,16.524
13:59:20,284.912,30,0.551,16.524
13:59:21,285.924,30,0.551,16.524
13:59:22,286.934,30,0.551,16.524
13:59:23,287.971,30,0.551,16.524
13:59:24,288.983,30,0.551,16.524
13:59:25,289.993,30,0.551,16.524
13:59:26,291.03,30,0.551,16.524
13:59:27,292.041,30,0.551,16.524
13:59:28,293.051,30,0.551,16.524
13:59:29,294.089,30,0.551,16.524
13:59:30,295.1,30,0.551,16.524
13:59:31,296.108,30,0.551,16.524
13:59:32,297.148,30,0.551,16.524
13:59:33,298.158,30,0.551,16.524
13:59:34,299.168,30,0.551,16.524
13:59:35,300.206,30,0.551,16.524
13:59:36,301.216,30,0.551,16.524
13:59:37,302.226,30,0.551,16.524
13:59:38,303.264,30,0.551,16.524
13:59:39,304.276,30,0.551,16.524
13:59:40,305.287,30,0.551,16.524
13:59:41,306.301,30,0.551,16.524
13:59:42,307.313,30,0.551,16.524
13:59:43,308.324,30,0.551,16.524
13:59:44,309.333,30,0.551,16.524
13:59:45,310.366,30,0.551,16.524
13:59:46,311.376,30,0.551,16.524
13:59:47,312.388,30,0.551,16.524
13:59:48,313.403,30,0.551,16.524
13:59:49,314.416,30,0.551,16.524
13:59:51,315.426,30,0.551,16.524
13:59:52,316.435,30,0.551,16.524
13:59:53,317.467,30,0.551,16.524
13:59:54,318.476,30,0.551,16.524
13:59:55,319.483,30,0.551,16.524
13:59:56,320.526,30,0.551,16.524
13:59:57,321.536,30,0.551,16.524
13:59:58,322.544,30,0.551,16.524
13:59:59,323.584,30,0.551,16.524
14:00:00,324.595,30,0.551,16.524
14:00:01,325.606,30,0.551,16.524
14:00:02,326.643,30,0.551,16.524
14:00:03,327.653,30,0.551,16.524
14:00:04,328.66,30,0.551,16.524
14:00:05,329.702,30,0.551,16.524
14:00:06,330.71,30,0.551,16.524
14:00:07,331.725,30,0.551,16.524
14:00:08,332.741,30,0.551,16.524
14:00:09,333.753,30,0.551,16.524
14:00:10,334.765,30,0.551,16.524
14:00:11,335.788,30,0.551,16.524
14:00:12,336.804,30,0.551,16.524
14:00:13,337.814,30,0.551,16.524
14:00:14,338.83,30,0.551,16.524
14:00:15,339.863,30,0.551,16.524
14:00:16,340.88,30,0.551,16.524
14:00:17,341.907,30,0.551,16.524
14:00:18,342.92,30,0.551,16.524
14:00:19,343.934,30,0.551,16.524
14:00:20,344.944,30,0.551,16.524
14:00:21,345.982,30,0.551,16.524
